id,question,answer
1,දරුවෙකු තාත්තා ගැනීම සඳහා උපරිම වයස කීයද?,තාත්තා ගන්නා දරුවාගේ වයස අවුරුදු 14 ට වඩා වැඩි නොවිය යුතුය.
2,දරුවෙකු තාත්තා ගැනීමට අයදුම්කරුවෙකුට තිබිය යුතු මූලික සුදුසුකම් මොනවාද?,අයදුම්කරු වයස අවුරුදු 25 ඉක්මවා තිබිය යුතු අතර, දරුවා සහ අයදුම්කරු අතර අවම වයස් වෙනසක් ලෙස අවුරුදු 21 ක් තිබිය යුතුය.
3,තාත්තා ගත් දරුවාගේ උපත නැවත ලියාපදිංචි කිරීම සඳහා අවශ්‍ය ලේඛන මොනවාද?,"අයදුම්පත (B149), දෙමාපියන්ගේ විවාහ සහතිකය, දෙමාපියන්ගේ උපන් සහතික සහ දරුවා සඳහා පෙර ලියාපදිංචි කර ඇති උපන් සහතිකය හෝ එවැනි ලියාපදිංචියක් නොමැති නම් හිස් ප්‍රතිඵල ලියාපදිංචි පොත."
4,ලියාපදිංචි කර ඇති වතුයෙහි උපන් දරුවෙකුගේ උපත කවුද දැනුම් දිය හැක්කේ?,"පියයා, මව, උපත සිදුවන විට සහභාගී වූ පුද්ගලයින් සහ අනුධාරකයන් විසින් උපත දැනුම් දිය හැක."
5,වතුපිළිඹඳ උපන් සහතිකය ලබා ගත හැක්කේ කොතැනින්ද?,"උපත ලියාපදිංචි කිරීමෙන් පසුව, එය වතුපති වෙත යොමු කරනු ලබයි, එමෙන්ම දැනුම්දීම කළ පුද්ගලයාට එය නොමිලේ ලබා ගත හැක."
6,ශ්‍රී ලංකාවේ විදේශ උපතක් පසුකාලීනව ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?,"නිසි පරිදි පුරවා ඇති ප්‍රකාශය, උපන් රටේ උපන් සහතිකය හෝ රෝහල් වාර්තාව, දෙමාපියන්ගේ විවාහ සහතිකය හා උපන් සහතික, මව භාවිත කළ පැස්පෝර්ට් සහ වීසා, විදේශික පුරවැසියන්ගේ සහතිකය ඇතුළත් ලේඛන යොමු කළ යුතුය."
7,උපන් සහතිකයක නකලක් ලබා ගත හැක්කේ කොහෙදිද?,"උපත සිදුවූ දිස්ත්‍රික් ලේකම් කාර්යාලයෙන් හෝ එය මින්හින් පද්ධතියේ (eBMD) ඇත්නම් ඔබට ලඟම ඇති දිස්ත්‍රික් ලේකම් කාර්යාලයකින් ලබා ගත හැක."
8,උපන් සහතිකයේ අංකය සහ ලියාපදිංචි දිනය නොදැන සිටින විට නකලක් ලබා ගැනීම සඳහා ගාස්තුව කීයද?,"ලියපදිංචි දිනය සහ සහතික අංකය නොදන්නා විට, ලියවිලි සෙවීම අවශ්‍ය බැවින්, එක් නකලකට ගාස්තුව රු.250.00 වේ."
9,තැපැල් මගින් උපන් සහතිකය ලබා ගැනීමට අවශ්‍ය ලේඛන මොනවාද?,"තම ලිපින සහ මුද්‍රාකිත තැපැල් අච්චුවක්, අයදුම්පතක් සහ ගාස්තු ගෙවීමේ රිසිට්පතක් යොමු කළ යුතුය."
10,උපන් සහතිකයේ පරිවර්තිත පිටපතක් ලබා ගැනීමට හැකි ස්ථාන මොනවාද?,"පරිවර්තකයින් පවතින කලාපීය කාර්යාල හරහා හෝ දෙපාර්තමේන්තුවේ වෙබ් අඩවියෙන් ලබා ගත හැක. ලබා ගත හැකි පරිවර්තන: සිංහල-ඉංග්‍රීසි, ඉංග්‍රීසි-සිංහල, දෙමළ-ඉංග්‍රීසි, ඉංග්‍රීසි-දෙමළ."
11,උපන් සහතික පරිවර්තනයකට ගාස්තුව සහ කාලය කීයද?,"එක් පරිවර්තනයකට රු.600.00 ගාස්තුවක් තිබේ. එය ලබා ගත හැක්කේ දින 5 ක් ඇතුළත වන අතර, එක්දින සේවාව ලබා දිය නොහැක."
12,ගෙදර උපතක් වූවිට එය ලියාපදිංචි කිරීමේ ක්‍රමවේදය කුමක්ද?,"උපත සිදුවූ දිනයේ සිට 7 දින ඇතුලත එම උපත ග්‍රාම නිලධාරී에게 දැනුම් දිය යුතුය. උපත සිදුවූ ස්ථානයේ උපන් සහ මරණ ලියාපදිංචි කිරීමේ ලේකම් කාර්යාලයේ ලියාපදිංචි කෙරේ."
13,උපත ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?,"පුරවා ඇති CR01 ලියාපදිංචි පෝරමය, දෙමාපියන්ගේ විවාහ සහතිකයේ ප්‍රතිකාරනපූර්ව පිටපත, දෙමාපියන්ගේ උපන් සහතිකයන් පිටපත්, ජාතික හැඳුනුම් පත පිටපත යොමු කළ යුතුය."
14,උපත 3 මාසයකට පසුව ලියාපදිංචි කළ හැකිද?,"උපත 3 මාසයක පසුව ලියාපදිංචි කළ හැක, එවිට ඒ සඳහා පසුගිය උපත ලියාපදිංචි කිරීමේ සහතිකය භාවිතා කළ යුතුය."
15,අතුරු උපතක් ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?,"දෙමාපියන් විවාහ වී නම්, විවාහ සහතිකය හා, උපත සහ උපත වූ ස්ථානය සනාථ කරන ලේඛන (සෞඛ්‍ය සේවා මෑණියන්ගේ සහතිකය, බප්තිස්ම සහතිකය, පාසල් නම ලියාපදිංචි කිරීමේ දත්ත පත්‍රය) පිටපත් ඉදිරිපත් කළ යුතුය."
16,අතුරු උපතක් ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන නොමැති නම් කුමක් කළ යුතුද?,"ලේඛන නොමැතිනම්, උපතේ දිනය සහ ස්ථානය සම්බන්ධ වටිනා දත්ත මත බාරකාරීන් සහ අත්සන ලබා දී සත්‍යතාව පදනම්ව එක් පනස්වෙනි ප්‍රකාශයක් සහ අත්සන ලබා දී ඉදිරිපත් කළ යුතුය."
17,උපන් ලියාපදිංචි පොතේ තොරතුරු වෙනස් කළ හැකිද?,"ඔව්, උපන් දිනය, උපන් ස්ථානය, ස්ත්‍රී/පුරුෂ භාවය, දෙමාපියන්ගේ විස්තර, විවාහ තත්වය, සීයාගේ විස්තර සහ තොරතුරු දුන් පුද්ගලයාගේ විස්තර වැනි තොරතුරු වෙනස් කළ හැක."
18,උපන් ලියාපදිංචිය වෙනස් කිරීමට අයදුම් කළ හැක්කේ කවුද?,"උපන් සහතිකය හිමිකරුවන්, තාත්තා හෝ අම්මා, නීතිමය ආරක්ෂකයා, හෝ සත්‍යභාවයෙන් තොර විස්තරවලට විරුද්ධව සිටින ඕනෑම පුද්ගලයෙකුට අයදුම් කළ හැක."
19,උපන් ලියාපදිංචිය වෙනස් කිරීමට අවශ්‍ය ලේඛන මොනවාද?,"වෙනස් කිරීමට අදාල උපන් සහතිකයේ සහතික පිටපතක්, දෙමාපියන්ගේ විවාහ සහතිකය, දෙමාපියන්ගේ උපන් සහතික පිටපත්, රෝහල්/විදුහල් ලේඛන, මැතිවරණ ලැයිස්තුව, පියා මියගොස් ඇත්නම් ඔහුගේ මරණ සහතිකය යනාදිය."
20,"මරණ ලිපිනයක ඇතුළත් තොරතුරු වෙනස් කිරීමේ ක්‍රියාවලිය කුමක්ද?","මරණය සිදුවූ ස්ථානය සම්බන්ධ දිස්ත්‍රික් ලේකම් කාර්යාලයේ අතිරේක දිස්ත්‍රික් ලේඛකාධිකාරියා වෙත ප්‍රකාශයක් ඉදිරිපත් කළ යුතුය. එය මරණය ලියාපදිංචි කළ පුද්ගලයා හෝ එම සිදුවීම පිළිබඳ සැබෑ තොරතුරු දන්නා පුද්ගලයෙකු විසින් ඉදිරිපත් කළ හැකිය. ලියාපදිංචි දිනය හැර අනෙකුත් සියලුම තොරතුරු වෙනස් කළ හැක. රු.60.00ක් ගෙවිය යුතුය සහ එය තහවුරු කරන ලිවිය හැකි ලියවිලි එක් කළ යුතුය."
21,"මරණ ලිපියක තොරතුරු වෙනස් කිරීම සඳහා ප්‍රකාශය කවරෙක් ඉදිරිපත් කළ යුතුද?","මරණය ලියාපදිංචි කළ පුද්ගලයා හෝ එම සිදුවීම පිළිබඳ සැබෑ තොරතුරු දන්නා පුද්ගලයෙකු විසින් ප්‍රකාශය ඉදිරිපත් කළ හැකිය."
22,"සාමාන්‍ය විවාහ සහතිකපතක වැරදි නිවැරදි කිරීමේ ක්‍රියාවලිය කුමක්ද?","වීවාහයේ පාර්ශවයන් විසින්, නිසි බලතල සහිතව, නීතිඥයෙකු හරහා දිස්ත්‍රික්ක නියෝජිත අධිකරණයට ඉල්ලීමක් ඉදිරිපත් කළ යුතුය. අවශ්‍ය ලේඛන: විවාහ සහතිකය සහ අධිකරණය ඉල්ලන ලේඛන. ලේඛනීය වැරැද්දක් නම්, විවාහය සම්බන්ධ වන ප්‍රාදේශීය ලේකම් කාර්යාලයේ අතිරේක දිස්ත්‍රික් ලේඛකාධිකාරියා වෙත දැනුම් දී, සහතිකපතෙහි පිටපතේ නිවැරදිභාවය පරීක්ෂා කළ හැකිය."
23,"විවාහ සහතිකයෙහි වැරැද්දක් නිවැරදි කිරීම සඳහා දිස්ත්‍රික්ක අධිකරණයට ඉල්ලීමක් කළ හැක්කේ කවුරුන්ද?","විවාහයේ පාර්ශවයන් දෙදෙනාම, නීතිඥයෙකු හරහා දිස්ත්‍රික්ක අධිකරණයට නිසි බලතල සහිතව ඉල්ලීමක් ඉදිරිපත් කළ යුතුය."
24,"කැන්ඩියන් විවාහ සහතිකපතක වැරැද්දක් නිවැරදි කිරීමේ ක්‍රියාවලිය කුමක්ද?","විවාහය ලියාපදිංචි කර ඇති ප්‍රාදේශීය ලේකම් කාර්යාලයේ අතිරේක දිස්ත්‍රික් ලේඛකාධිකාරියා වෙත ඉල්ලීමක් යොමු කළ යුතුය. අවශ්‍ය ලේඛන: විවාහ සහතිකය, ඇති වූ වැරැද්ද සහ නිවැරදි තොරතුරු ඇතුළත් වූ දිවුරුම් ප්‍රකාශයක්, සහ තවත් අවශ්‍ය සාධක."
25,"කැන්ඩියන් විවාහ සහතිකයෙහි වැරැද්දක් නිවැරදි කිරීමට කාට අමතන්නේද?","විවාහය ලියාපදිංචි කර ඇති ප්‍රාදේශීය ලේකම් කාර්යාලයේ අතිරේක දිස්ත්‍රික් ලේඛකාධිකාරියා වෙත අයදුම් කරන්න."
26,"ජන්ම සහතිකය සඳහා අවශ්‍ය සාධක ලබා දිය නොහැකි පුද්ගලයෙකුට සාමාන්‍ය වියේ සහතිකය ලබා ගැනීමේ ක්‍රියාවලිය කුමක්ද?","උපන් ස්ථානයට අදාළ ප්‍රාදේශීය ලේකම් කාර්යාලය වෙත පැමිණ සාමාන්‍ය වියේ (Probable Age) සහතිකය සඳහා අයදුම් කළ හැකිය. අවශ්‍ය ලේඛන: ප්‍රකාශනයක්, ලේඛන සෙවීම් ප්‍රතිඵල, දිවුරුම් සහ වාර්තා, ග්‍රාම නිලධාරී වාර්තා, උපතට සාධක වශයෙන් භාවිත කළ හැකි තොරතුරු. උපන් දිනය ඇතුළත් කිරීමට අවශ්‍ය නම්, එය සනාථ කරන ලේඛන යොමු කළ යුතුය."
27,"සාමාන්‍ය වියේ සහතිකය පිළිබඳ වැඩිදුර තොරතුරු ලබා ගැනීමට කාගේ උපදෙස් ලබා ගත හැකිද?","නැවතත් ලගා විය හැකි ප්‍රාදේශීය ලේකම් කාර්යාලයේ අතිරේක දිස්ත්‍රික් ලේඛකාධිකාරියාගෙන් උපදෙස් ලබා ගත හැක."
28,"ක්‍රිස්තියානි ආචාර්යවරයෙකු මඟින් විවාහ වීම සදහා අනුගමනය කළ යුතු ප්‍රධාන පියවර කුමක්ද?","විවාහ දැන්වීම පිටපත් 2ක් ලෙස සකස් කර, භූමිකාවට අදාළ විවාහ ලේඛකාධිකාරිය වෙත භාර දිය යුතුය. පාර්ශවයන් පසුගිය දින 10ක් ඇතුළත අදාළ ව්‍යාප්ත භූමියෙහි වාසය කර තිබිය යුතුය. අවම වශයෙන් එක් පාර්ශවයක් පසුගිය දින 10ක් තුළ ශ්‍රී ලංකාවේ වාසය කර තිබිය යුතුය. පාර්ශවයන් දෙදෙනාම අවුරුදු 18ක් සපුරා තිබිය යුතු අතර, විවාහ වීමට නීතිවිරෝධී සබඳතා නොතිබිය යුතුය. විවාහ වී සිටින තත්ත්වයක් නොතිබිය යුතුය. දිවුරුම් විසඳුම් තිබේ නම්, ‘absolute decree’ යොමු කළ යුතුය."
29,"ක්‍රිස්තියානි ආචාර්යවරයෙකු මඟින් සිදුකරන විවාහයකින් පසුව නීතිමය විවාහ සහතිකය ලබා ගැනීම කෙසේද?","විවාහයට පසුව ආචාර්යවරයා විසින් නිකුත් කරන සිනෝඩ් සහතිකය (B112) අදාළ දේවස්ථානය පිහිටි දිස්ත්‍රික් ලේකම් කාර්යාලයේ අතිරේක දිස්ත්‍රික් ලේඛකාධිකාරිය වෙත භාර දී නීතිමය විවාහ සහතිකය ලබා ගත හැක."
30,මරණ සහතිකයේ සහතික පදනම් ප්‍රතිලාභ ලබාගැනීමේ ක්‍රියාවලිය කුමක්ද?,මරණ සහතිකයේ සහතික පදනම් ප්‍රතිලාභ ලබාගැනීමට මරණය සිදුවූ ප්‍රදේශයේ බෙදීම් ලේකම් කාර්යාලයේ ලබාගත හැක. එසේම, එම සහතිකය දත්ත පද්ධතිය තුළ ඇතුළත් නම්, ඔබට ආසන්න බෙදීම් ලේකම් කාර්යාලයේ පවා ලබාගත හැක.
31,මරණ සහතිකය ලබාගැනීමේ අය කළ වැය කොතරම් වේ?,මරණ සහතිකයේ ලියාපදිංචි අංකය සහ දිනය දැන සිටීමේ අවස්ථාවලදී, එක් ප්‍රතිලාභයකට රු.120.00 වේ. එම අංකය සහ දිනය නොදැන සිටින විට, රු.250.00 වේ.
32,විවාහ සහතිකයේ සහතික පදනම් ප්‍රතිලාභ ලබාගැනීමේ ක්‍රියාවලිය කුමක්ද?,විවාහ සහතිකයේ සහතික පදනම් ප්‍රතිලාභ ලබාගැනීමට විවාහය සිදුවූ ප්‍රදේශයේ බෙදීම් ලේකම් කාර්යාලයේ ලබාගත හැක. එසේම, එම සහතිකය දත්ත පද්ධතිය තුළ ඇතුළත් නම්, ඔබට ආසන්න බෙදීම් ලේකම් කාර්යාලයේ පවා ලබාගත හැක.
33,විවාහ සහතිකය ලබාගැනීමේ අය කළ වැය කොතරම් වේ?,විවාහ සහතිකයේ ලියාපදිංචි අංකය, ලියාපදිංචි ප්‍රදේශය සහ ලියාපදිංචි දිනය දැන සිටීමේ අවස්ථාවලදී, එක් ප්‍රතිලාභයකට රු.120.00 වේ. එම අංකය සහ දිනය නොදැන සිටින විට, රු.250.00 වේ.
34,"ශ්‍රී ලංකාවක් සහ විදේශීය පාර්ශවයක් අතර විවාහයක් ලියාපදිංචි කිරීම සඳහා කුමන ප්‍රධාන ලේඛන අවශ්‍ය වේද?","විවාහ දැන්වීම (එක් ප්‍රතිපත් 2ක් ලෙස සකස් කර සහ සනාථ කරන ලද), විදේශීය පාර්ශවයට ශ්‍රී ලංකාවට ආවීමට අවශ්‍ය වීසා, ඔහුගේ/ඇගේ විදේශීය پاسپورٹ සහ එම පටුපොතේ පිටපත, ඔහුගේ/ඇගේ පෞද්ගලික තත්වය සහ නීතිමය ලේඛන සනාථ කිරීම සඳහා ඔහු/ඇගේ තමන්ගේ රටේ නියෝග කරන ආයතනයේ නිකුත් කරන ලද ලේඛනය, සෞඛ්‍ය තත්ත්වය පරීක්ෂා කරන සෞඛ්‍ය සහතිකයක්, පවුල් ලේඛනය (ඇත්නම් නම් සහ වයස පෙන්වන්න) සහ එම ලේඛන පිටපත."
35,"ශ්‍රී ලංකාවක් සහ විදේශීය පාර්ශවයක් අතර විවාහයක් ලියාපදිංචි කිරීමට කුමන කාලය ගතවේද?","ඉහත ලේඛන සපයන දිනයේ සිට කාර්ය දින 14ක් වර්ෂිණය කරයි. ඉන්පසු විවාහ සහතිකය ලබා ගැනීම සඳහා ඉහත දැක්වූ ලේඛන 4 පිටපත් සමඟ සම්පූර්ණ කිරීමට අවශ්‍ය වේ."
36,"ගෙදර මරණයක් සිදු වූ අවස්ථාවේ එය ලියාපදිංචි කිරීම සඳහා මොනවා කරන්නේ ද?","මරණය සිදු වූ 5 දින ඇතුළත ග්‍රාම නිලධාරී에게 දැනුම්දීමක් කළ යුතුය. ග්‍රාම නිලධාරී විසින් B24 ප්‍රාරූපය අනුව පDeathක් සහ මරණ පදනම් කරන ලද දත්ත ඔවුන්ගේ අදාළ පදනම් මරණ සහ ජන්ම රජය වෙත පසුබැසීමට යොමු කළ යුතුය."
37,"රෝහලක මරණයක් සිදු වූ විට, එය කෙසේ ලියාපදිංචි කරන්නෙද?","මරණය සිදු වූ රෝහලේ අදාළ උපත හා මරණ ලියාපදිංචි කරන ලද ලියාපදිංචි අධිකාරි에게 මරණය දන්විය යුතුය. CR02 පෝරමය භාර ගැනීම අවශ්‍ය වේ. මරණය ලියාපදිංචි කිරීමට වෛද්‍ය නිලධාරියා හෝ මරණය සොයාගත් පාර්ශ්වය දන්වා එය ලියාපදිංචි කිරීමට පාරිභෝගිකයි."
38,"රෝහලක මරණය සිදු වූ විට, ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?","CR02 ලියාපදිංචි පෝරමය, රෝහලේ සිට ලබා දෙන මරණය තහවුරු කරන වාර්තාව සහිතව එය පරික්ෂා කිරීම කළ යුතුය. මරණය 3 මාසය ඇතුලත නොමිලේ ලියාපදිංචි කල හැක."
39,"එක්වන ලද ශ්‍රී ලංකා පුරවැසියෙකු හෝ දෙපාර්ශ්වික පුරවැසි ආක්‍රමණිකයේ මරණයක් විදේශ රටක සිදුවුවහොත් එය කෙසේ ලියාපදිංචි කරනවාද?","ශ්‍රී ලංකා තානාපති කාර්යාලය හෝ උසස් කොමසාරිස් කාර්යාලය මරණය සිදුවූ රටේ මරණය ලියාපදිංචි කරයි. මරණය දන්වා දීම සඳහා අවශ්‍ය දැක්ම සහ අදාළ පත්‍රය ශ්‍රී ලංකා තානාපති කාර්යාලය හෝ උසස් කොමසාරිස් කාර්යාලය හට ලබා ගත හැක."
40,"එක්වන ලද ශ්‍රී ලංකා පුරවැසියෙකු හෝ දෙපාර්ශ්වික පුරවැසි ආක්‍රමණිකයේ මරණය ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මොනවාද?","මරණය ලියාපදිංචි කිරීමට අවශ්‍ය ලේඛන මත ශ්‍රී ලංකා පුරවැසි හෝ දෙපාර්ශ්වික පුරවැසි බවක් පෙන්වන වසා/දෙපාර්ශ්වික පුරවැසි පත, පසුවේ මරණ සන්තාන ලේඛනය, පසුබැසීමේ හේතුව පෙන්වන රෝහලේ වාර්තාව, මරණය සහ අදාළ සම්බන්ධීකරණයේ උපත සහ මූලික සහ සහතික කිරීම."
41,"එක්වන ලද ශ්‍රී ලංකා පුරවැසියෙකු හෝ දෙපාර්ශ්වික පුරවැසි ආක්‍රමණිකයෙක් විදේශ රටක මිය ගොස් අදාළ කාලය තුළ ශ්‍රී ලංකාවේ මරණය ලියාපදිංචි කිරීමට නොහැකි වූ විට කුමක් කළ යුතුද?","වසරයක් කාලය පුරා රජයේ ගාස්තු ගෙවීමට අපොහොසත් වීමෙන් පසු, විදේශ රටේ තානාපති කාර්යාලයේ මරණය ලියාපදිංචි කිරීමේ වෙනුවට, මාලිගාවත්ත මධ්‍යම ලේඛන කාමරය වෙත සත්‍ය පිටපත් සහ ප්‍රතිලිපි සමඟ ලේඛන පරිබෝධයක් සමඟ ඉදිරිපත් කිරීමෙන් මරණය ලියාපදිංචි කළ හැක."
42,"ඉන්ධන මරණය ලියාපදිංචි කිරීම සඳහා අවශ්‍ය ලේඛන මොනවාද?","මරණය ලියාපදිංචි කිරීම සඳහා අවශ්‍ය ලේඛන අතර සත්‍ය ප්‍රකාශය, විදේශ මරණ සහතිකය, මරණ හේතුව සඳහන් නොවන්නේ නම් එය මතු කරන වාර්තාව, මිය ගොස් ඇති පුද්ගලයාගේ උපත සහතිකය, පසුබැසීමේ කාඩ්පත, මිය ගිය සිරස් පාට ප්‍රමාණය කාර්යාලයෙන් ගැයූ බද්ධ ගාස්තු සහතික පත්‍රය හා නව මූලික වෙනස් කිරීම්."
43,"ජන්ම සහතිකයේ පිටපතක් සඳහා ඔන්ලයින් මාර්ගයෙන් කොතැනින් අයදුම් කළ හැක්කද?","https://online.ebmd.rgd.gov.lk වෙබ් අඩවිය ඔස්සේ ජන්ම සහතිකය සඳහා ඔන්ලයින් මාර්ගයෙන් අයදුම් කළ හැක."
44,"ජන්ම සහතිකයක් ලබා ගැනීමට ගෙවිය යුතු ගාස්තුව කීයද?","ජන්ම සහතිකයේ අංකය සහ ලියාපදිංචි දිනය දන්නා විට එක් පිටපතක් සඳහා රු.120.00ක් ගෙවිය යුතුය. එම තොරතුරු නොදන්නා අතර දෙවසරකට අඩු කාලයක් සඳහා සෙවීමක් අවශ්‍ය නම්, එක් පිටපතක් සඳහා රු.250.00ක් ගෙවිය යුතුය."
45,"විදේශයකදී මියගිය පුද්ගලයෙකුගේ මරණය ශ්‍රී ලංකාවේ ලියාපදිංචි කළ හැකිද?","ඔව්. මියගිය පුද්ගලයා ශ්‍රී ලාංකිකයෙකු හෝ ද්විත්ව පුරවැසිභාවය ඇතිනම්, අවශ්‍ය ලිපිපත් සමඟ මරණය ශ්‍රී ලංකාවේ ලියාපදිංචි කළ හැක."
46,"විදේශයකදී මියගිය පුද්ගලයෙකුගේ මරණය එක් වසරක් ඇතුළත ලියාපදිංචි නොකළොත් කුමක් කළ යුතුද?","එක් වසරකට පසු ලියාපදිංචිය සඳහා අවශ්‍ය ලිපිපත් එම රටේ තානාපති කාර්යාලය වෙතින් මාලිගාවත්ත මධ්‍යස්ථ ලේඛනාගාරයට යොමු කළ යුතුය."
47,"ලියාපදිංචි වත්තක මරණයක් සිදු වුනොත් එය කවුරුන්ට සහ කවදා දැනුම් දිය යුතුද?","මරණය සිදු වූවෙන් පසුව පැය 24 ඇතුළත වතුප්‍රධානියට දැනුම් දිය යුතුය."
48,"වතුප්‍රධානියා මරණය ලියාපදිංචි කිරීමට කුමක් කරයිද?","වතුප්‍රධානියා මරණය ලියාපදිංචි කර, CR02 ආකෘතිය සමඟ සහතික කළ මරණ වාර්තාව දිස්ත්‍රික් වෛද්‍ය නිලධාරිය වෙතින් ව්‍යාපාරික ලේකම්වරයාට යොමු කරයි"
49,"දරුවෙකු දත්තයට ගැනීමට ඉල්ලුම්කරුවාගේ අවම වයස කීයද?","ඉල්ලුම්කරුවාගේ වයස අවම වශයෙන් අවුරුදු 25ක් විය යුතුය."
50,"දරුවෙකු දත්තයට ගැනීමට ඉල්ලුම්කරුවා සහ දරුවා අතර අවම වයස් වෙනස කීයද?","වයස් වෙනස අවම වශයෙන් අවුරුදු 21ක් විය යුතුය. නමුත් දරුවා අයදුම්කරුගේ සන්සුන්වරයෙක් හෝ විවාහකතයගේ දරුවෙක් නම් මෙම කොන්දේසිය අදාළ නොවේ."
51,"දරුවෙකු දත්තයට ගැනීමට අයදුම් කරන විට දරුවාගේ කැමැත්ත අවශ්‍ය වන්නේ කවදාද?","දරුවාගේ වයස අවුරුදු 10 ට වැඩි නම්, ඔහුගේ/ඇයගේ කැමැත්ත ලිවිය යුතුය."
52,"දරුවෙකු දත්තයට ගැන විට දරු උපත නැවත ලියාපදිංචි කිරීම සඳහා අවශ්‍ය ලියවිලි මොනවාද?","උපත නැවත ලියාපදිංචි කිරීමට B149 යෙදුම, දෙමාපියන්ගේ විවාහ සහතිකය, දෙමාපියන්ගේ උපන් සහතික, දරුවාගේ පැරණි උපන් සහතිකය හෝ හිස් ලේඛන ලියාපදිංචි ප්‍රතිඵලය අත්පත් කළ යුතුය."